iter	Passed	Remaining
0	179	17759
1	201	9866
2	221	7154
3	241	5796
4	260	4944
5	279	4375
6	297	3954
7	314	3619
8	332	3362
9	350	3156
10	368	2981
11	386	2837
12	404	2704
13	424	2610
14	444	2520
15	462	2429
16	481	2351
17	500	2279
18	517	2207
19	535	2142
20	555	2089
21	574	2036
22	591	1981
23	610	1933
24	628	1886
25	645	1838
26	663	1794
27	681	1751
28	698	1709
29	716	1670
30	731	1629
31	748	1591
32	766	1557
33	784	1522
34	803	1492
35	821	1461
36	839	1429
37	858	1401
38	877	1372
39	895	1342
40	912	1313
41	930	1285
42	951	1261
43	969	1234
44	988	1208
45	1006	1181
46	1026	1157
47	1043	1130
48	1061	1104
49	1079	1079
50	1097	1054
51	1115	1029
52	1133	1005
53	1152	981
54	1168	955
55	1185	931
56	1204	908
57	1222	885
58	1240	862
59	1258	838
60	1277	816
61	1295	794
62	1313	771
63	1331	749
64	1350	727
65	1369	705
66	1386	683
67	1405	661
68	1420	638
69	1437	616
70	1455	594
71	1471	572
72	1490	551
73	1509	530
74	1526	508
75	1543	487
76	1561	466
77	1580	445
78	1599	425
79	1616	404
80	1634	383
81	1652	362
82	1671	342
83	1688	321
84	1707	301
85	1727	281
86	1745	260
87	1763	240
88	1782	220
89	1800	200
90	1817	179
91	1834	159
92	1852	139
93	1871	119
94	1890	99
95	1908	79
96	1925	59
97	1942	39
98	1960	19
99	1977	0
